"Policy_ID","City","Safety_Package_Level","Exposure","Claim_Count","Claim_Amount","Pred_Frequency","Pred_Severity","Risk_Premium","Freq_vs_Baseline","Sev_vs_Baseline","Paradox_Flag"
10001,"Ankara","0",0.33,0,0,0.0550903760886858,14768.1549075999,813.583207995651,0.520020857310316,0.602307742265759,"Frequency_Wins"
10002,"Diger","1",0.78,0,0,0.0723555393207099,21533.4512755978,1558.0644804821,0.682993877698963,0.878225106801973,"Frequency_Wins"
10003,"Bursa","1",0.23,0,0,0.028268131427694,19596.7956697532,553.964795554247,0.266834590417855,0.799240110179118,"Frequency_Wins"
10004,"Izmir","0",0.52,0,0,0.102089668244364,19282.1916570019,1968.51254928757,0.96366662513787,0.786409229557027,"Frequency_Wins"
10005,"Istanbul","0",0.43,0,0,0.0949408924480503,15212.5023382235,1444.28854835899,0.896186372101773,0.620430107543953,"Frequency_Wins"
10006,"Istanbul","0",0.85,0,0,0.242171860709194,18609.2117736189,4506.62744154873,2.28596040839687,0.75896226704297,"No_Effect"
10007,"Istanbul","1",0.57,1,4233.63,0.116568896691807,23208.8491028809,2705.42993340947,1.10034205422389,0.946554907583557,"No_Effect"
10008,"Diger","0",0.35,0,0,0.0362999570676963,18627.1587653267,676.165063474523,0.342650316350769,0.759694221178312,"Frequency_Wins"
10009,"Izmir","1",0.75,1,6440.87,0.122883375940758,18968.229176473,2330.88003682299,1.1599470369022,0.773604513328989,"No_Effect"
10010,"Bursa","2",0.27,0,0,0.0266899932885308,19173.7517937805,511.747306691957,0.251937891459754,0.781986593852218,"Frequency_Wins"
10011,"Istanbul","0",0.39,0,0,0.106992354415917,37794.1977996481,4043.6902058452,1.00994510873272,1.54140704034307,"No_Effect"
10012,"Diger","0",0.32,0,0,0.0305867094393142,21441.5571550769,655.826678628786,0.288720607739694,0.874477276378693,"Frequency_Wins"
10013,"Antalya","0",0.38,0,0,0.0373645160048252,16899.2712587255,631.433091416532,0.352699128692365,0.689223669541925,"Frequency_Wins"
10014,"Istanbul","0",0.4,0,0,0.10589154870781,14883.0544407975,1575.98968423869,0.999554148120281,0.606993830599787,"Frequency_Wins"
10015,"Istanbul","0",0.83,0,0,0.226601864214149,19133.8069883613,4335.75633307639,2.13898876832969,0.780357475948338,"No_Effect"
10016,"Istanbul","1",0.43,0,0,0.0845833711075398,23488.226095365,1986.71334448206,0.798417442036175,0.957949081509609,"Frequency_Wins"
10017,"Istanbul","0",0.84,0,0,0.210992646004387,21011.4495089252,4433.26132827571,1.99164689826663,0.856935669664398,"No_Effect"
10018,"Ankara","0",0.35,0,0,0.0693975533710511,37732.2798049144,2618.52790157298,0.655072224251233,1.53888176295757,"Paradox_Active"
10019,"Ankara","0",0.74,0,0,0.155103635465358,19238.4109889281,2983.94748495945,1.46408739988993,0.784623668970251,"No_Effect"
10020,"Istanbul","0",0.85,1,36036.47,0.268571221746125,37500.2412996621,10071.4856216247,2.53515490176481,1.52941825251286,"No_Effect"
10021,"Izmir","0",0.43,0,0,0.0812373768664447,18769.5928334345,1524.79248663944,0.766833217760621,0.765503284160144,"Frequency_Wins"
10022,"Istanbul","0",0.3,1,41627,0.0705084106207178,21027.7022082034,1482.62986170618,0.665558065523965,0.857598523397261,"Frequency_Wins"
10023,"Istanbul","0",1,0,0,0.337470805701324,43571.6676575457,14704.1657901423,3.18552658663093,1.77703666692073,"No_Effect"
10024,"Ankara","0",0.21,0,0,0.03439566695307,17153.6588752709,590.011537700391,0.324674933928596,0.699598671154547,"Frequency_Wins"
10025,"Ankara","2",0.58,0,0,0.0907044306077845,50203.8618429171,4553.71270277368,0.856196655665803,2.04752556218573,"Paradox_Active"
10026,"Bursa","0",0.66,0,0,0.089437174845097,19042.2434224288,1703.08445441466,0.844234504108091,0.776623126937531,"Frequency_Wins"
10027,"Istanbul","1",0.31,0,0,0.0800271596186158,22034.3918175666,1763.34979108352,0.755409476348245,0.898655578227172,"Frequency_Wins"
10028,"Ankara","1",0.82,0,0,0.160715377658653,16751.6930477572,2692.25467459212,1.5170589566944,0.683204806683829,"No_Effect"
10029,"Izmir","1",0.98,0,0,0.167176986336328,48762.8561416081,8152.02733490596,1.5780527549353,1.9887552624443,"No_Effect"
10030,"Istanbul","1",0.96,0,0,0.167345497553008,19123.1562686535,3200.17410056175,1.57964340204258,0.779923094606804,"No_Effect"
10031,"Izmir","0",0.66,0,0,0.134422707704734,15179.6629027568,2040.49138943367,1.26887156460974,0.619090776641956,"No_Effect"
10032,"Istanbul","0",0.88,0,0,0.263857407827306,14853.3922336958,3919.17757222522,2.49065926152232,0.605784080492086,"No_Effect"
10033,"Istanbul","0",0.65,0,0,0.23501731770159,21570.2104762361,5069.37300838375,2.21842571626683,0.879724302285938,"No_Effect"
10034,"Diger","0",0.25,0,0,0.0296289843482148,21417.3421126996,634.574094237539,0.279680244280578,0.873489684658916,"Frequency_Wins"
10035,"Diger","1",0.88,0,0,0.0641396245023588,42734.2218940477,2740.9569456847,0.605440457832133,1.74288209106217,"Paradox_Active"
10036,"Antalya","2",0.7,0,0,0.0649942155801198,56435.8103861258,3668.00122667462,0.613507296660599,2.30169074940521,"Paradox_Active"
10037,"Istanbul","0",0.72,1,6301.06,0.226659359849782,15036.1322622921,3408.08011318779,2.13953149342718,0.613236990807157,"No_Effect"
10038,"Istanbul","1",0.99,0,0,0.199648542925614,16745.4749048207,3343.20966534488,1.88456521490794,0.682951204547569,"No_Effect"
10039,"Izmir","0",0.65,0,0,0.1325646011496,38446.9035800042,5096.69843852037,1.25133212791721,1.56802713929177,"No_Effect"
10040,"Ankara","0",0.56,0,0,0.100520596245948,37685.3820741281,3788.15707584774,0.94885550523402,1.53696907538597,"Paradox_Active"
10041,"Istanbul","0",0.62,0,0,0.142783624814475,18614.9800449174,2657.91432666242,1.34779372110961,0.759197521513436,"No_Effect"
10042,"Ankara","1",0.75,0,0,0.14012198092453,21086.9407151883,2954.74390465032,1.32266936299531,0.860014519953397,"No_Effect"
10043,"Istanbul","0",0.6,0,0,0.18545190768073,15022.5631924005,2785.963002285,1.75055730000313,0.612683586817139,"No_Effect"
10044,"Diger","0",0.33,0,0,0.026656683973849,14506.8733805805,386.705139154776,0.251623471054466,0.591651577862049,"Frequency_Wins"
10045,"Istanbul","1",0.49,0,0,0.0976658870342206,21090.0626792564,2059.77967917689,0.92190872365343,0.860141846836212,"Frequency_Wins"
10046,"Izmir","0",0.49,0,0,0.113179326679988,17218.0060688776,1948.72233364752,1.06834650021602,0.702223021531754,"No_Effect"
10047,"Istanbul","2",0.88,1,61040.98,0.170646762033709,24652.8422301478,4206.92770150261,1.61080540359977,1.00544704717534,"No_Effect"
10048,"Ankara","2",0.86,0,0,0.131665878077754,22137.0292842474,2914.69139874339,1.24284870893395,0.902841567689983,"No_Effect"
10049,"Ankara","1",0.66,0,0,0.126364224402981,42531.7111834522,5374.48669622853,1.19280420597613,1.73462284881786,"No_Effect"
10050,"Istanbul","2",0.54,0,0,0.103387959303102,24185.2294871314,2500.46152195173,0.97592173169798,0.986375824178077,"Frequency_Wins"
10051,"Diger","1",0.35,0,0,0.0288636006569268,21589.7180021205,623.15699870887,0.272455470888685,0.880519901597169,"Frequency_Wins"
10052,"Bursa","0",0.71,0,0,0.0990594051652598,14990.0683715499,1484.9072562723,0.9350627179557,0.611358310754939,"Frequency_Wins"
10053,"Diger","0",0.31,0,0,0.0305802272462644,39374.3722090111,1204.07724983056,0.288659419637046,1.60585322788948,"Paradox_Active"
10054,"Diger","0",0.57,0,0,0.0418876154145403,18515.3031993963,775.561899699919,0.395394535762256,0.755132278688072,"Frequency_Wins"
10055,"Izmir","2",0.96,0,0,0.139197863850564,27277.4216308966,3796.95882237199,1.31394623951753,1.11248848215167,"No_Effect"
10056,"Diger","0",0.26,0,0,0.0184010086158772,37498.7106388285,690.014097549369,0.173694735000514,1.52935582569809,"Paradox_Active"
10057,"Istanbul","0",0.82,0,0,0.20361324557082,14711.7455685573,2995.50626322609,1.92198968384279,0.600007131129565,"No_Effect"
10058,"Istanbul","0",0.3,0,0,0.0866846007629716,14766.0912100093,1279.99272136928,0.818251818281211,0.602223575960333,"Frequency_Wins"
10059,"Istanbul","0",0.6,0,0,0.158186186817329,19390.4062779212,3067.29442994315,1.49318487771753,0.790822678929263,"No_Effect"
10060,"Istanbul","0",0.1,1,19761.88,0.0329129572704033,19643.9491670137,646.540459555895,0.310679023661412,0.801163228987974,"Frequency_Wins"
10061,"Ankara","0",0.84,1,63104.77,0.193336964800683,38308.1312111359,7406.37781554734,1.82498761713979,1.56236741587305,"No_Effect"
10062,"Istanbul","0",0.82,0,0,0.154552534408849,17297.1393450521,2673.31672380081,1.4588853289618,0.705450410816938,"No_Effect"
10063,"Antalya","0",0.4,0,0,0.0468277577191804,43205.8347386805,2023.23236119788,0.442026583297352,1.76211645510098,"Paradox_Active"
10064,"Ankara","0",0.25,0,0,0.0497965371431345,39104.2070624141,1947.25409943633,0.470050120815494,1.59483475195231,"Paradox_Active"
10065,"Istanbul","2",0.37,0,0,0.0686684134579558,27483.3200556512,1887.23598477878,0.648189570880042,1.12088588969011,"Paradox_Active"
10066,"Ankara","0",0.73,0,0,0.174096356631898,19126.0773729853,3329.78038729652,1.64336755451766,0.780042229581079,"No_Effect"
10067,"Istanbul","0",0.68,0,0,0.14044604254391,37930.4954095599,5327.18797200262,1.32572831472328,1.54696583263742,"No_Effect"
10068,"Antalya","0",0.3,0,0,0.0249394984009538,18648.8169265384,465.092139919085,0.235414245828987,0.76057753248312,"Frequency_Wins"
10069,"Istanbul","0",0.21,0,0,0.0661608093105071,38842.2914367086,2569.83743692722,0.624519257639632,1.58415272632556,"Paradox_Active"
10070,"Diger","1",0.17,0,0,0.0156546754193884,23098.9938500785,361.607251237428,0.147770959475751,0.942074546312602,"Frequency_Wins"
10071,"Bursa","0",0.29,0,0,0.0403828373758434,15175.5957684814,612.833616000122,0.381190313150212,0.618924901725405,"Frequency_Wins"
10072,"Istanbul","0",0.53,0,0,0.11009265228647,18980.0887956922,2089.56831615048,1.03921010329306,0.774088198699353,"No_Effect"
10073,"Istanbul","0",0.69,0,0,0.19937268512897,42741.4986959374,8521.48736144542,1.88196127901039,1.74317886978264,"No_Effect"
10074,"Antalya","0",0.92,0,0,0.0749898206890063,42731.1603121874,3204.40204964411,0.707859949648315,1.74275722682087,"Paradox_Active"
10075,"Bursa","1",0.16,0,0,0.0219284140557956,23266.8482399,510.205081977886,0.206991374653047,0.948920357397016,"Frequency_Wins"
10076,"Bursa","0",0.47,0,0,0.0613642772741935,19475.894487046,1195.12418946603,0.579242806855836,0.794309249225314,"Frequency_Wins"
10077,"Bursa","0",0.63,0,0,0.0675281950127634,43513.768192784,2938.4062242625,0.637426577132541,1.77467528216297,"Paradox_Active"
10078,"Istanbul","1",0.65,0,0,0.165362421498383,21066.0699255839,3483.53633434881,1.56092432652968,0.859163320988832,"No_Effect"
10079,"Ankara","0",0.46,0,0,0.0873765675345081,19047.0300223939,1664.26410508351,0.8247835789863,0.776818344704149,"Frequency_Wins"
10080,"Istanbul","0",0.66,0,0,0.161572879183939,20891.6060061138,3375.51693318428,1.52515326844145,0.852047945364703,"No_Effect"
10081,"Diger","0",0.6,0,0,0.04861323639404,16878.5398096974,820.520445755036,0.458880455373213,0.688378153474676,"Frequency_Wins"
10082,"Izmir","1",0.52,0,0,0.0792750255800488,19103.8102497304,1514.45504622377,0.748309771911335,0.779134082231709,"Frequency_Wins"
10083,"Istanbul","1",0.92,0,0,0.181600111845339,48868.0671868689,8874.44646680091,1.71419860516902,1.99304621331318,"No_Effect"
10084,"Istanbul","1",0.16,0,0,0.0407155223466272,20769.1306307683,845.626002317066,0.384330664260591,0.847052882185244,"Frequency_Wins"
10085,"Istanbul","0",0.78,0,0,0.257141996373467,43509.4635331292,11188.1103140474,2.42726971384896,1.77449971995807,"No_Effect"
10086,"Istanbul","1",0.39,0,0,0.112424205751807,42050.9711104957,4727.54702818966,1.06121860129201,1.71501623785185,"No_Effect"
10087,"Bursa","0",0.39,0,0,0.0596350792616699,37675.0677165309,2246.7556494641,0.562920191241736,1.5365484123122,"Paradox_Active"
10088,"Izmir","0",0.45,0,0,0.0810218616216919,18948.3037553321,1535.2268448303,0.764798880181234,0.772791870483883,"Frequency_Wins"
10089,"Diger","0",0.36,1,28201.42,0.0353427089798746,19219.3293245523,679.263163106023,0.333614455522985,0.78384543809031,"Frequency_Wins"
10090,"Ankara","0",0.95,0,0,0.189210866077523,43156.1543982773,8165.61335027334,1.78603966383646,1.76009028095462,"No_Effect"
10091,"Istanbul","0",0.44,0,0,0.161971037515352,37951.6082028963,6147.06135599925,1.52891164969689,1.54782690153648,"No_Effect"
10092,"Bursa","0",0.72,1,14560.81,0.12776763526742,18642.2467614082,2381.87578477684,1.20605158188276,0.760309573394753,"No_Effect"
10093,"Bursa","1",0.57,0,0,0.100806834127056,16331.6363402346,1646.34055557343,0.951557423044283,0.666073119705024,"Frequency_Wins"
10094,"Izmir","0",0.76,0,0,0.145350649390466,21384.3404999573,3108.22777845564,1.37202492836429,0.872143739482534,"No_Effect"
10095,"Bursa","1",0.76,0,0,0.0883745079080789,19421.2243831255,1716.3411478311,0.834203551138486,0.79207957144445,"Frequency_Wins"
10096,"Ankara","0",0.9,0,0,0.161953470885754,38434.4123372806,6224.58647947683,1.52874583101072,1.56751769364673,"No_Effect"
10097,"Ankara","1",0.95,0,0,0.172202317638214,19029.7609393826,3276.96893786285,1.62548893666817,0.77611403854914,"No_Effect"
10098,"Ankara","1",0.52,0,0,0.0662860099991925,16594.1667955157,1099.96110613582,0.625701078750477,0.676780220679093,"Frequency_Wins"
10099,"Istanbul","0",0.51,0,0,0.159700719084578,16680.3766663502,2663.86814821775,1.50748117452936,0.68029622338818,"No_Effect"
10100,"Istanbul","1",0.39,0,0,0.0823379010377315,21475.8012035728,1768.27239420577,0.777221520830508,0.87587389333353,"Frequency_Wins"
10101,"Istanbul","0",0.27,0,0,0.0698243663920455,14760.6061553496,1030.64997235981,0.659101088979465,0.601999872260787,"Frequency_Wins"
10102,"Izmir","0",0.23,0,0,0.0406464444862536,18752.3003072014,762.21433342622,0.383678609750837,0.764798021891523,"Frequency_Wins"
10103,"Istanbul","1",0.18,0,0,0.0483644554727855,23724.7727504764,1147.43571529237,0.456532109307378,0.96759645334936,"Frequency_Wins"
10104,"Ankara","0",0.36,0,0,0.0591365965823562,38009.0123010232,2247.72362693942,0.558214806950408,1.55016808315029,"Paradox_Active"
10105,"Diger","0",0.57,0,0,0.0697901724500976,15145.9480612899,1057.03832711765,0.658778318211337,0.617715742985294,"Frequency_Wins"
10106,"Istanbul","0",0.79,0,0,0.257610733064547,18845.0033538753,4854.67512859566,2.43169431344792,0.768578843740469,"No_Effect"
10107,"Ankara","2",0.45,0,0,0.0672837269522283,22079.5657154614,1485.59547082289,0.635118941943778,0.900497960611473,"Frequency_Wins"
10108,"Bursa","2",0.55,0,0,0.059556671334537,24224.7217705155,1442.7437926572,0.562180066370889,0.98798648632178,"Frequency_Wins"
10109,"Istanbul","2",0.66,0,0,0.166507125931157,27670.6201337646,4607.35543120596,1.57172966537035,1.12852477808751,"No_Effect"
