"Age_Group","Safety_Package_Level","Ort_Frekans","Ort_Siddet","Ort_Risk_Primi"
"18-25","0",0.107785481951007,24079.273737103,2601.3761172709
"18-25","1",0.0972323324395755,27054.4493433486,2625.63122923353
"18-25","2",0.0808170163065141,30414.4939054872,2461.29229932637
"26-40","0",0.106498504702658,24105.4085131183,2570.0784499626
"26-40","1",0.0961701049691165,27288.9868291576,2618.66531216014
"26-40","2",0.0799403824980926,30928.4032545602,2470.5464544934
"41-60","0",0.105429852375933,24304.4983203332,2557.96024238321
"41-60","1",0.0961971375097259,27326.4119700283,2624.10210006009
"41-60","2",0.0793176838205393,31300.3152980058,2485.38363938647
"60+","0",0.106243797410548,24528.3874611045,2603.57741125755
"60+","1",0.0950784013100454,27717.2164978239,2643.76483591128
"60+","2",0.0805597647301204,31741.1497051136,2557.20407315987
