"City","Safety_Package_Level","Ort_Frekans","Ort_Siddet","Ort_Risk_Primi"
"Ankara","0",0.109691906000443,24319.4935221298,2666.08443313319
"Ankara","1",0.0985442651141017,27777.6784211774,2740.79256611633
"Ankara","2",0.0832703796941586,30946.4396110555,2577.26034879052
"Antalya","0",0.0626488715487015,24193.5223751249,1524.04883521324
"Antalya","1",0.058301337587323,27413.9059682771,1603.4407865363
"Antalya","2",0.0479188932292688,31503.4064475257,1516.5877728281
"Bursa","0",0.0824137149194999,24496.5993716676,2028.90651405321
"Bursa","1",0.0745049973035385,27338.6760318113,2026.03005536955
"Bursa","2",0.0616860683780103,30823.4755492832,1912.0605960979
"Diger","0",0.051172246284004,24243.6630115167,1238.23533465143
"Diger","1",0.0466473885289812,27284.8830316298,1271.33521805823
"Diger","2",0.0388355166791278,31608.7007572879,1222.77909653841
"Istanbul","0",0.144172133564697,24279.3467730067,3497.33224384853
"Istanbul","1",0.1299058531192,27324.5266885904,3552.61088476941
"Istanbul","2",0.107736463374142,31406.7671269213,3387.8141018988
"Izmir","0",0.0980675809723757,24299.797905614,2379.70196966596
"Izmir","1",0.0880730590121685,27309.0295100465,2392.35957624388
"Izmir","2",0.0749152179650731,31132.9331446088,2325.61936153571
